Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.346915909,0.187266373,0.078170641,0.035526516,5379,1817228116,783,386,1169,45189201,NvProp Alto
0.346338235,0.186423629,0.07841402,0.032980766,5405,1821882686,711,371,1082,44488259,NvProp Alto
0.347063083,0.185640932,0.078774427,0.032358035,5430,1821726433,680,385,1065,44711149,NvProp Alto
0.346213379,0.187984674,0.07935045,0.032704981,5424,1823577917,709,358,1067,44700059,NvProp Alto
0.345102182,0.186913029,0.078799854,0.033619872,5384,1818148792,726,373,1099,44895344,NvProp Alto
0.347449812,0.186059209,0.078845457,0.032486047,5436,1821701548,698,373,1071,44877919,NvProp Alto
0.348158701,0.185267585,0.077862441,0.032335731,5375,1826072617,704,357,1061,43921689,NvProp Alto
0.347877891,0.184802487,0.078238935,0.031516703,5397,1823837521,666,368,1034,44272210,NvProp Alto
0.346968985,0.185643182,0.078593482,0.030883853,5371,1828545693,634,365,999,43654287,NvProp Alto
0.349760069,0.183846015,0.077288601,0.034118846,5400,1822411274,732,406,1138,44344657,NvProp Alto
0.346180873,0.190447272,0.080747414,0.035223029,5566,1819083993,706,454,1160,45012871,NvProp Alto
0.345992076,0.188044375,0.079231623,0.034259344,5428,1820619723,725,396,1121,44792986,NvProp Alto
0.35035419,0.191464856,0.080869994,0.034825569,5581,1820697394,736,413,1149,44977074,NvProp Alto
0.346182774,0.184329301,0.077652279,0.033279172,5390,1824055452,736,370,1106,43719610,NvProp Alto
0.345362079,0.184589072,0.077824818,0.033594967,5331,1818818380,713,387,1100,44758436,NvProp Alto
0.345445142,0.18855188,0.079893747,0.033201992,5474,1821423351,699,388,1087,44783836,NvProp Alto
0.34770339,0.186645888,0.079594186,0.031946775,5531,1828572983,697,369,1066,44166355,NvProp Alto
0.35014779,0.189557841,0.080223935,0.033962955,5517,1822496188,695,418,1113,44736586,NvProp Alto
0.345990356,0.186987193,0.078862445,0.033031578,5474,1828293470,702,389,1091,43590412,NvProp Alto
0.348447816,0.189819886,0.079697768,0.033558476,5506,1829288817,733,370,1103,43962102,NvProp Alto
0.345076459,0.190049291,0.080048523,0.03314849,5477,1827746461,692,384,1076,44257660,NvProp Alto
0.345140214,0.187420288,0.07826369,0.033626777,5308,1821144505,717,364,1081,44289918,NvProp Alto
0.351135823,0.185643338,0.077718556,0.034276835,5366,1820209729,727,398,1125,45085830,NvProp Alto
0.348665899,0.188526325,0.079707421,0.033991593,5514,1820766103,720,404,1124,45278071,NvProp Alto
0.349261788,0.185738842,0.078106095,0.033519553,5358,1819863267,693,399,1092,44692612,NvProp Alto
0.348128112,0.186373293,0.078322648,0.033717754,5424,1823145582,717,394,1111,44319932,NvProp Alto
